评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
马青旺你为了传承非遗吹糖，用各种形式表演，适合各类人群，传承者老马您辛苦了,2022-03-10 09:46:45,3,评论,马青旺你为了传承非遗吹糖，用各种形式表演，适合各类人群，传承者老马您辛苦了,0.9747
感谢理解,2022-03-10 09:52:20,6,回复,感谢理解,0.8269
婶婶来啦~,2022-03-10 11:41:40,5,回复,婶来啦~,0.7992
我家乌龟也叫过，但是那是它害怕导致喉咙喘气的声音,2022-03-11 17:47:38,4,评论,我家乌龟也叫过，但是那是它害怕导致喉咙喘气的声音,0.1635
最开始一看像个大胖饺子,2022-03-11 14:06:43,5,评论,最开始一看像个大胖饺子,0.3439
英雄联盟 强大的亚洲男人！他让糖分变的巨大！爱来自————印度🇮🇳,2022-03-11 07:10:19,5,评论,英雄联盟 强大的亚洲男人！他让糖分变的巨大！爱来自—印度🇮🇳,0.9912
味太冲了,2022-03-11 11:54:02,5,回复,味太冲了,0.3874
好可爱，又好厉害！！,2022-03-11 12:13:32,4,评论,好可爱，又好厉害！,0.9939
好可爱的龟,2022-03-10 11:39:14,4,评论,好可爱的龟,0.9559
哈哈哈好可爱,2022-03-10 11:47:40,6,评论,哈好可爱,0.9985
太厉害了[脱单doge],2022-03-11 19:52:04,5,评论,太厉害了,0.2458
捏面人,2022-03-11 19:07:14,5,评论,捏面人,0.576
好玩,2022-03-10 21:30:22,4,评论,好玩,0.9341
扮龟吹龟[doge],2022-03-11 12:27:31,5,评论,扮龟吹龟,0.0064
好牛,2022-03-10 18:41:33,5,评论,好牛,0.95
可爱,2022-03-10 19:12:18,5,评论,可爱,0.9778
这种东西其实可以加入到大学里的选修课  能更好的传承,2022-03-11 16:24:53,6,评论,这种东西其实可以加入到大学里的选修课 能更好的传承,0.8093
是的，不比什么这个那个的强多了,2022-03-11 16:37:16,5,回复,是的，不比什么这个那个的强多了,0.3655
看封面还以为是个海螺🐚[妙啊],2022-03-11 15:50:04,6,评论,看封面还以为是个海螺🐚,0.3761
好可爱的龟龟,2022-03-11 13:15:36,4,评论,好可爱的龟,0.9559
这个龟鼻子太长了，一会拿过来我吃一口完善一下作品[doge],2022-03-11 12:42:15,2,评论,这个龟鼻子太长了，一会拿过来我吃一口完善一下作品,0.1913
吹的好啊[狗子],2022-03-11 07:45:23,6,评论,吹的好啊,0.6166
老马妻子：他是不是发现了什么[囧],2022-03-11 08:50:17,5,评论,老马妻子：他是不是发现了什么,0.1495
哥们，以后别开这种玩笑，跟好朋友开开能行,2022-03-11 11:42:43,4,回复,哥们，以后别开这种玩笑，跟好朋友开能行,0.6122
牛逼,2022-03-11 08:07:40,5,评论,牛逼,0.6885
？？,2022-03-11 12:13:44,6,评论,？,0.0924
糖是什么糖，以前吃着很香的,2022-03-11 12:02:37,4,评论,糖是什么糖，以前吃着很香的,0.8303
弹飞那一下好帅呀[星星眼],2022-03-11 11:44:07,5,评论,弹飞那一下好帅呀,0.9739
支持[打call],2022-03-10 23:22:46,5,评论,支持,0.9837
太卖力了哈哈哈哈[脱单doge],2022-03-10 11:23:56,6,评论,太卖力了哈,0.6318
哈哈，您这吹得比演的好,2022-03-11 00:36:26,5,评论,哈，您这吹得比演的好,0.8103
看着有点心酸啊[抱拳]   辛苦了,2022-03-11 21:17:08,6,评论,看着有点心酸啊 辛苦了,0.7403
👍🏻👍🏻👍🏻,2022-03-11 13:43:44,5,评论,👍🏻,0.6055
